'time', 'timestamp', 'endpoint', 'object', 'instance', 'resource', 'value'
2021-05-06 20:18:28.067928+01,1620328707,t91-jak,3300,2,5700,1106027520
2021-05-06 20:18:22.63079+01,1620328701,t91-jak,3300,0,5700,163443.0
2021-05-06 20:18:08.713129+01,1620328687,t91-jak,3304,0,5700,25.89499855041504
2021-05-06 20:18:08.405908+01,1620328687,t91-jak,3303,0,5700,8.239999771118164
2021-05-06 20:18:08.071049+01,1620328687,t91-jak,3300,4,5700,1070638016
2021-05-06 20:18:02.711521+01,1620328681,t91-jak,3300,3,5700,1100947072
2021-05-06 20:17:57.348557+01,1620328676,t91-jak,3300,2,5700,1092448896
2021-05-06 20:17:51.913295+01,1620328670,t91-jak,3300,0,5700,202334.0
2021-05-06 20:06:04.112225+01,1620327964,t91-jak,3304,0,5700,25.4689998626709
2021-05-06 20:06:03.840271+01,1620327963,t91-jak,3303,0,5700,8.359999656677246
2021-05-06 20:06:03.612739+01,1620327963,t91-jak,3300,4,5700,1070638016
2021-05-06 20:05:58.312424+01,1620327958,t91-jak,3300,3,5700,1093120640
2021-05-06 20:05:52.900099+01,1620327952,t91-jak,3300,2,5700,1092448896
2021-05-06 20:05:47.348964+01,1620327947,t91-jak,3300,0,5700,166376.0
2021-05-06 20:05:34.342502+01,1620327934,t91-jak,3304,0,5700,25.678998947143555
2021-05-06 20:05:34.07762+01,1620327934,t91-jak,3303,0,5700,8.109999656677246
2021-05-06 20:05:33.85686+01,1620327933,t91-jak,3300,4,5700,1070638016
2021-05-06 20:05:28.56016+01,1620327928,t91-jak,3300,3,5700,1097809024
2021-05-06 20:05:23.268748+01,1620327923,t91-jak,3300,2,5700,1092448896
2021-05-06 20:05:17.909389+01,1620327917,t91-jak,3300,0,5700,207452.0
2021-05-06 19:53:59.774149+01,1620327238,t91-jak,3304,0,5700,25.3799991607666
2021-05-06 19:53:59.505785+01,1620327238,t91-jak,3303,0,5700,8.179999351501465
2021-05-06 19:53:59.292768+01,1620327238,t91-jak,3300,4,5700,1070638016
2021-05-06 19:53:53.986961+01,1620327232,t91-jak,3300,3,5700,1093120640
2021-05-06 19:53:48.681491+01,1620327227,t91-jak,3300,2,5700,1100837504
2021-05-06 19:53:43.272514+01,1620327222,t91-jak,3300,0,5700,170281.0
2021-05-06 19:53:32.629148+01,1620327211,t91-jak,3304,0,5700,25.393999099731445
2021-05-06 19:53:32.321892+01,1620327211,t91-jak,3303,0,5700,8.65999984741211
2021-05-06 19:53:32.079338+01,1620327210,t91-jak,3300,4,5700,1070638016
2021-05-06 19:53:26.706039+01,1620327205,t91-jak,3300,3,5700,1093120640
2021-05-06 19:53:21.429351+01,1620327200,t91-jak,3300,2,5700,1092448896
2021-05-06 19:53:16.076252+01,1620327195,t91-jak,3300,0,5700,186037.0
2021-05-06 19:42:39.912106+01,1620326559,t91-jak,3304,0,5700,24.290998458862305
2021-05-06 19:42:39.445302+01,1620326559,t91-jak,3303,0,5700,9.969999313354492
2021-05-06 19:42:39.189215+01,1620326559,t91-jak,3300,4,5700,1070638016
2021-05-06 19:42:33.924313+01,1620326553,t91-jak,3300,3,5700,1093120640
2021-05-06 19:42:28.629425+01,1620326548,t91-jak,3300,2,5700,1092448896
2021-05-06 19:42:23.187989+01,1620326543,t91-jak,3300,0,5700,129864.0
2021-05-06 19:42:07.833128+01,1620326527,t91-jak,3304,0,5700,24.527999877929688
2021-05-06 19:42:07.607303+01,1620326527,t91-jak,3303,0,5700,9.149999618530273
2021-05-06 19:42:07.372525+01,1620326527,t91-jak,3300,4,5700,1070638016
2021-05-06 19:42:02.071049+01,1620326521,t91-jak,3300,3,5700,1093120640
2021-05-06 19:41:56.713536+01,1620326516,t91-jak,3300,2,5700,1092448896
2021-05-06 19:41:51.271554+01,1620326511,t91-jak,3300,0,5700,196048.0
2021-05-06 19:18:19.595487+01,1620325099,t91-jak,3304,0,5700,24.375999450683594
2021-05-06 19:18:19.119439+01,1620325099,t91-jak,3303,0,5700,9.239999771118164
2021-05-06 19:18:18.875303+01,1620325098,t91-jak,3300,4,5700,1070638016
2021-05-06 19:18:13.495251+01,1620325093,t91-jak,3300,3,5700,1093120640
2021-05-06 19:18:08.23355+01,1620325088,t91-jak,3300,2,5700,1092448896
2021-05-06 19:18:02.79558+01,1620325082,t91-jak,3300,0,5700,155667.0
2021-05-06 19:17:49.687026+01,1620325069,t91-jak,3304,0,5700,24.551998138427734
2021-05-06 19:17:49.35346+01,1620325068,t91-jak,3303,0,5700,9.069999694824219
2021-05-06 19:17:48.248605+01,1620325068,t91-jak,3300,4,5700,1070638016
2021-05-06 19:17:42.969798+01,1620325062,t91-jak,3300,3,5700,1093120640
2021-05-06 19:17:37.670566+01,1620325057,t91-jak,3300,2,5700,1092448896
2021-05-06 19:17:31.986095+01,1620325051,t91-jak,3300,0,5700,205117.0
2021-05-06 19:06:18.872525+01,1620324378,t91-jak,3304,0,5700,23.99599838256836
2021-05-06 19:06:18.552304+01,1620324378,t91-jak,3303,0,5700,10.309999465942383
2021-05-06 19:06:18.233398+01,1620324378,t91-jak,3300,4,5700,1070638016
2021-05-06 19:06:12.883786+01,1620324372,t91-jak,3300,3,5700,1104341888
2021-05-06 19:06:07.512119+01,1620324367,t91-jak,3300,2,5700,1092448896
2021-05-06 19:06:02.068333+01,1620324362,t91-jak,3300,0,5700,157876.0
2021-05-06 19:05:46.796289+01,1620324346,t91-jak,3304,0,5700,24.244998931884766
2021-05-06 19:05:46.483501+01,1620324346,t91-jak,3303,0,5700,9.459999084472656
2021-05-06 19:05:46.248016+01,1620324346,t91-jak,3300,4,5700,1070638016
2021-05-06 19:05:40.969692+01,1620324340,t91-jak,3300,3,5700,1093120640
2021-05-06 19:05:35.672073+01,1620324335,t91-jak,3300,2,5700,1092448896
2021-05-06 19:05:30.166317+01,1620324330,t91-jak,3300,0,5700,176587.0
2021-05-06 18:56:07.112664+01,1620323766,t91-jak,3304,0,5700,24.578998565673828
2021-05-06 18:56:06.804254+01,1620323766,t91-jak,3303,0,5700,8.989999771118164
2021-05-06 18:56:06.480495+01,1620323766,t91-jak,3300,4,5700,1062846272
2021-05-06 18:56:01.131514+01,1620323761,t91-jak,3300,3,5700,1093120640
2021-05-06 18:55:55.831553+01,1620323755,t91-jak,3300,2,5700,1092448896
2021-05-06 18:55:50.31289+01,1620323750,t91-jak,3300,0,5700,133074.0
2021-05-06 18:55:36.470474+01,1620323736,t91-jak,3304,0,5700,24.77699851989746
2021-05-06 18:55:36.164501+01,1620323735,t91-jak,3303,0,5700,8.919999122619629
2021-05-06 18:55:35.83505+01,1620323735,t91-jak,3300,4,5700,1070638016
2021-05-06 18:55:30.472236+01,1620323730,t91-jak,3300,3,5700,1093120640
2021-05-06 18:55:25.116094+01,1620323725,t91-jak,3300,2,5700,1092448896
2021-05-06 18:55:19.672325+01,1620323719,t91-jak,3300,0,5700,202210.0
2021-05-06 18:33:00.711054+01,1620322380,t91-jak,3304,0,5700,24.608999252319336
2021-05-06 18:33:00.472689+01,1620322380,t91-jak,3303,0,5700,9.5
2021-05-06 18:33:00.181323+01,1620322380,t91-jak,3300,4,5700,1070638016
2021-05-06 18:32:54.954664+01,1620322374,t91-jak,3300,3,5700,1097809024
2021-05-06 18:32:49.593705+01,1620322369,t91-jak,3300,2,5700,1092448896
2021-05-06 18:32:44.072235+01,1620322363,t91-jak,3300,0,5700,163763.0
2021-05-06 18:32:30.405628+01,1620322350,t91-jak,3304,0,5700,24.684999465942383
2021-05-06 18:32:30.073361+01,1620322349,t91-jak,3303,0,5700,9.379999160766602
2021-05-06 18:32:29.753857+01,1620322349,t91-jak,3300,4,5700,1059907392
2021-05-06 18:32:24.395542+01,1620322344,t91-jak,3300,3,5700,1093120640
2021-05-06 18:32:18.884953+01,1620322338,t91-jak,3300,2,5700,1100837504
2021-05-06 18:32:13.352407+01,1620322333,t91-jak,3300,0,5700,190361.0
2021-05-06 18:22:51.510806+01,1620321770,t91-jak,3304,0,5700,24.333999633789062
2021-05-06 18:22:51.204925+01,1620321769,t91-jak,3303,0,5700,10.529999732971191
2021-05-06 18:22:50.874894+01,1620321769,t91-jak,3300,4,5700,1070638016
2021-05-06 18:22:45.512406+01,1620321764,t91-jak,3300,3,5700,1102848384
2021-05-06 18:22:40.169498+01,1620321759,t91-jak,3300,2,5700,1092448896
2021-05-06 18:22:34.792612+01,1620321753,t91-jak,3300,0,5700,152676.0
2021-05-06 18:22:20.872454+01,1620321739,t91-jak,3304,0,5700,24.500999450683594
2021-05-06 18:22:20.632071+01,1620321739,t91-jak,3303,0,5700,10.339999198913574
2021-05-06 18:22:20.328771+01,1620321739,t91-jak,3300,4,5700,1059907392
2021-05-06 18:22:15.03477+01,1620321733,t91-jak,3300,3,5700,1093120640
2021-05-06 18:22:09.671526+01,1620321728,t91-jak,3300,2,5700,1092448896
2021-05-06 18:22:04.073908+01,1620321722,t91-jak,3300,0,5700,204861.0
2021-05-06 18:10:16.552316+01,1620321016,t91-jak,3304,0,5700,24.998998641967773
2021-05-06 18:10:16.246269+01,1620321016,t91-jak,3303,0,5700,10.6899995803833
2021-05-06 18:10:15.913217+01,1620321015,t91-jak,3300,4,5700,1070638016
2021-05-06 18:10:10.494195+01,1620321010,t91-jak,3300,3,5700,1093120640
2021-05-06 18:10:04.977914+01,1620321004,t91-jak,3300,2,5700,1092448896
2021-05-06 18:09:59.590723+01,1620320999,t91-jak,3300,0,5700,156250.0
2021-05-06 18:09:44.474382+01,1620320984,t91-jak,3304,0,5700,25.362998962402344
2021-05-06 18:09:44.007267+01,1620320983,t91-jak,3303,0,5700,9.889999389648438
2021-05-06 18:09:43.689478+01,1620320983,t91-jak,3300,4,5700,1070638016
2021-05-06 18:09:38.390226+01,1620320978,t91-jak,3300,3,5700,1093120640
2021-05-06 18:09:33.033311+01,1620320972,t91-jak,3300,2,5700,1092448896
2021-05-06 18:09:27.592681+01,1620320967,t91-jak,3300,0,5700,192145.0
2021-05-06 17:59:12.154222+01,1620320351,t91-jak,3304,0,5700,23.798999786376953
2021-05-06 17:59:11.845771+01,1620320351,t91-jak,3303,0,5700,10.859999656677246
2021-05-06 17:59:11.515424+01,1620320351,t91-jak,3300,4,5700,1070638016
2021-05-06 17:59:06.15193+01,1620320345,t91-jak,3300,3,5700,1093120640
2021-05-06 17:59:00.79435+01,1620320340,t91-jak,3300,2,5700,1100837504
2021-05-06 17:58:55.270139+01,1620320335,t91-jak,3300,0,5700,157578.0
2021-05-06 17:58:41.925633+01,1620320321,t91-jak,3304,0,5700,23.86699867248535
2021-05-06 17:58:41.59426+01,1620320321,t91-jak,3303,0,5700,10.799999237060547
2021-05-06 17:58:41.275578+01,1620320321,t91-jak,3300,4,5700,1070638016
2021-05-06 17:58:35.8467+01,1620320315,t91-jak,3300,3,5700,1093120640
2021-05-06 17:58:30.247667+01,1620320309,t91-jak,3300,2,5700,1092448896
2021-05-06 17:58:24.552196+01,1620320304,t91-jak,3300,0,5700,188070.0
2021-05-06 17:48:54.153405+01,1620319733,t91-jak,3304,0,5700,23.649999618530273
2021-05-06 17:48:53.685379+01,1620319733,t91-jak,3303,0,5700,11.489999771118164
2021-05-06 17:48:53.373209+01,1620319733,t91-jak,3300,4,5700,1070638016
2021-05-06 17:48:48.07266+01,1620319727,t91-jak,3300,3,5700,1093120640
2021-05-06 17:48:42.634123+01,1620319722,t91-jak,3300,2,5700,1092448896
2021-05-06 17:48:37.034706+01,1620319716,t91-jak,3300,0,5700,156396.0
2021-05-06 17:48:23.433768+01,1620319703,t91-jak,3304,0,5700,23.8539981842041
2021-05-06 17:48:23.126809+01,1620319702,t91-jak,3303,0,5700,11.229999542236328
2021-05-06 17:48:22.806583+01,1620319702,t91-jak,3300,4,5700,1070638016
2021-05-06 17:48:17.514434+01,1620319697,t91-jak,3300,3,5700,1093120640
2021-05-06 17:48:12.090181+01,1620319691,t91-jak,3300,2,5700,1105542656
2021-05-06 17:48:06.63297+01,1620319686,t91-jak,3300,0,5700,194652.0
2021-05-06 17:38:10.071552+01,1620319089,t91-jak,3304,0,5700,24.04599952697754
2021-05-06 17:38:09.761348+01,1620319089,t91-jak,3303,0,5700,11.149999618530273
2021-05-06 17:38:09.434536+01,1620319089,t91-jak,3300,4,5700,1070638016
2021-05-06 17:38:04.074767+01,1620319083,t91-jak,3300,3,5700,1093120640
2021-05-06 17:37:58.732379+01,1620319078,t91-jak,3300,2,5700,1097339136
2021-05-06 17:37:53.194313+01,1620319072,t91-jak,3300,0,5700,149262.0
2021-05-06 17:37:38.007858+01,1620319057,t91-jak,3304,0,5700,24.42099952697754
2021-05-06 17:37:37.717299+01,1620319057,t91-jak,3303,0,5700,10.369999885559082
2021-05-06 17:37:37.302617+01,1620319057,t91-jak,3300,4,5700,1070638016
2021-05-06 17:37:31.992895+01,1620319051,t91-jak,3300,3,5700,1093120640
2021-05-06 17:37:26.555589+01,1620319046,t91-jak,3300,2,5700,1100353280
2021-05-06 17:37:21.113371+01,1620319040,t91-jak,3300,0,5700,183986.0
2021-05-06 17:25:28.232114+01,1620318328,t91-jak,3304,0,5700,24.74599838256836
2021-05-06 17:25:28.006436+01,1620318327,t91-jak,3303,0,5700,10.879999160766602
2021-05-06 17:25:27.68678+01,1620318327,t91-jak,3300,4,5700,1070638016
2021-05-06 17:25:22.408893+01,1620318322,t91-jak,3300,3,5700,1093120640
2021-05-06 17:25:17.114906+01,1620318316,t91-jak,3300,2,5700,1103192832
2021-05-06 17:25:11.593689+01,1620318311,t91-jak,3300,0,5700,147416.0
2021-05-06 17:24:57.433497+01,1620318297,t91-jak,3304,0,5700,25.03099822998047
2021-05-06 17:24:56.970278+01,1620318296,t91-jak,3303,0,5700,10.699999809265137
2021-05-06 17:24:56.65433+01,1620318296,t91-jak,3300,4,5700,1070638016
2021-05-06 17:24:51.432623+01,1620318291,t91-jak,3300,3,5700,1093120640
2021-05-06 17:24:46.092776+01,1620318285,t91-jak,3300,2,5700,1092448896
2021-05-06 17:24:40.792704+01,1620318280,t91-jak,3300,0,5700,181781.0
2021-05-06 17:13:07.445461+01,1620317586,t91-jak,3304,0,5700,25.10099983215332
2021-05-06 17:13:07.112971+01,1620317585,t91-jak,3303,0,5700,10.649999618530273
2021-05-06 17:13:06.790189+01,1620317585,t91-jak,3300,4,5700,1070638016
2021-05-06 17:13:01.444623+01,1620317580,t91-jak,3300,3,5700,1101386496
2021-05-06 17:12:56.090806+01,1620317574,t91-jak,3300,2,5700,1092448896
2021-05-06 17:12:50.473892+01,1620317569,t91-jak,3300,0,5700,146382.0
2021-05-06 17:12:36.565099+01,1620317555,t91-jak,3304,0,5700,25.114999771118164
2021-05-06 17:12:36.245327+01,1620317554,t91-jak,3303,0,5700,10.549999237060547
2021-05-06 17:12:35.910185+01,1620317554,t91-jak,3300,4,5700,1070638016
2021-05-06 17:12:30.531897+01,1620317549,t91-jak,3300,3,5700,1093120640
2021-05-06 17:12:25.201427+01,1620317543,t91-jak,3300,2,5700,1097339136
2021-05-06 17:12:19.75213+01,1620317538,t91-jak,3300,0,5700,186785.0
2021-05-06 17:01:11.846658+01,1620316871,t91-jak,3304,0,5700,23.08099937438965
